,speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
344,6.206896551724138,20.0,270.0,15.0,3.4486609805724053,3.4485793717056126,3.4489963100269834,3.4482758620689653,3.44827858341062,3.4489868207405725,3.4490520538185185,3.4482758620689653
352,6.101694915254237,20.0,275.0,15.0,3.3899073097275614,3.389830508474576,3.390760686777248,3.389830508474576,3.3904608248852006,3.390581762738962,3.390345600644115,3.389830508474576
360,6.0,20.0,280.0,15.0,3.3338643503932426,3.3333333333333335,3.3337512097351616,3.3333333333333335,3.3335200000194183,3.3340180943816593,3.3343070456127597,3.3333333333333335
368,5.9016393442622945,20.0,285.0,15.0,3.2789669248078117,3.278688524590164,3.2796822059511666,3.278688524590164,3.2791216317304395,3.2794136346165272,3.2790542325764274,3.278688524590164
376,5.806451612903225,20.0,290.0,15.0,3.226173324077907,3.225806451612903,3.2261600831671853,3.225806451612903,3.226140631453367,3.2264680731864406,3.2262420936158898,3.2263707172369966
384,5.7142857142857135,20.0,295.0,15.0,3.1749566132789915,3.1746031746031744,3.1749604761795314,3.175290331191756,3.174938435088853,3.1753052652636216,3.174943676812069,3.1746031746031744
392,5.624999999999999,20.0,300.0,15.0,3.1253389041830375,3.125,3.1253453543766545,3.125,3.125339847302654,3.12564124099433,3.1253334948913802,3.1256433473096257
400,5.538461538461537,20.0,305.0,15.0,3.0772191310343997,3.076923076923077,3.077654792366764,3.0771521765967296,3.0772951890129305,3.0776049846399807,3.0772589315761905,3.076923076923077
408,5.454545454545454,20.0,310.0,15.0,3.0307351150625217,3.0303030303030303,3.03065427466626,3.0303030303030303,3.030528418179392,3.0309264023286455,3.0312061650915734,3.0303030303030303
416,5.3731343283582085,20.0,315.0,15.0,2.9852112542249154,2.985074626865672,2.9859499206631175,2.985074626865672,2.985577551424074,2.985738951370247,2.9854588307957672,2.985074626865672
424,5.2941176470588225,20.0,320.0,15.0,2.9417429008825002,2.9411764705882355,2.9416568690414535,2.9411764705882355,2.941226926540687,2.9417842824018274,2.941955320069372,2.9411764705882355
432,5.217391304347825,20.0,325.0,15.0,2.8985523317655555,2.898550724637681,2.899210295882269,2.898550724637681,2.898831469915275,2.8995201263468475,2.8991551672136198,2.898550724637681
440,5.1428571428571415,20.0,330.0,15.0,2.857690960313554,2.857142857142857,2.857905280404768,2.857142857142857,2.8571732017839193,2.857737253298672,2.8576239853484573,2.857142857142857
448,5.070422535211267,20.0,335.0,15.0,2.8170592391331093,2.816901408450704,2.8172471900717317,2.816901408450704,2.817338171833912,2.8175144970184265,2.817753056548176,2.816901408450704
456,5.0,20.0,340.0,15.0,2.778029070351565,2.7777777777777777,2.7786232412795178,2.7777777777777777,2.778130792337411,2.7783607729464155,2.778078823747965,2.7777777777777777
464,4.931506849315068,20.0,345.0,15.0,2.7402444996193003,2.73972602739726,2.7401508059273,2.73972602739726,2.7397836281563803,2.7403278685692096,2.740471293047312,2.73972602739726
472,4.864864864864864,20.0,350.0,15.0,2.7027066058563345,2.7027027027027026,2.7032423476766816,2.7027027027027026,2.7032271682812423,2.703254607343127,2.703338336792082,2.7027027027027026
480,4.8,20.0,355.0,15.0,2.6670889043576,2.6666666666666665,2.6674903605492752,2.6666666666666665,2.6668112636807786,2.6672591987611987,2.66699146004421,2.6666666666666665
488,4.7368421052631575,20.0,360.0,15.0,2.631976438706976,2.6315789473684212,2.631894829514643,2.6315789473684212,2.6317529689992045,2.6321226669416733,2.63236043285669,2.6315789473684212
496,4.675324675324675,20.0,365.0,15.0,2.5974068186262165,2.5974025974025974,2.598013016073746,2.5974025974025974,2.5979270091137407,2.5979876950897616,2.5979243569309984,2.5974025974025974
504,4.615384615384615,20.0,370.0,15.0,2.5645405065606233,2.5641025641025643,2.564876789511196,2.5641025641025643,2.5642055659421636,2.564639785887007,2.5644405908390038,2.5641025641025643
512,4.556962025316455,20.0,375.0,15.0,2.532029633927795,2.5316455696202533,2.5319482984079875,2.5316455696202533,2.531806713544361,2.532201413940694,2.5323985909853244,2.5316455696202533
520,4.499999999999999,20.0,380.0,15.0,2.5000000000000004,2.5,2.5005480297334075,2.5,2.5000000000000013,2.5010450176239694,2.5005397490607923,2.5
528,4.444444444444444,20.0,385.0,15.0,2.4694937383238416,2.4691358024691357,2.469917752602192,2.4691358024691357,2.4693076381351853,2.4696870379229976,2.4694197996943177,2.4691358024691357
