speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
277.5,20.0,60.0,185.0,12.5,12.499999999999998,12.502960934301068,12.499999999999998,12.500000000000005,12.505056468708252,12.502786976115427,12.499999999999998
280.49999999999994,20.0,60.0,187.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
283.5,20.0,60.0,189.0,12.499999999999998,12.5,12.502960934301068,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
286.49999999999994,20.0,60.0,191.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115424,12.5
289.5,20.0,60.0,193.0,12.500000000000002,12.5,12.502960934301072,12.5,12.500000000000002,12.505056468708252,12.502786976115429,12.5
292.5,20.0,60.0,195.0,12.499999999999998,12.5,12.502960934301074,12.5,12.499999999999998,12.505056468708252,12.50278697611542,12.5
295.5,20.0,60.0,197.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115424,12.5
298.5,20.0,60.0,199.0,12.500000000000002,12.5,12.502960934301067,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
301.49999999999994,20.0,60.0,201.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
304.5,20.0,60.0,203.0,12.499999999999998,12.5,12.502960934301067,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
307.49999999999994,20.0,60.0,205.0,12.5,12.5,12.502960934301074,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
310.5,20.0,60.0,207.0,12.500000000000002,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.502786976115425,12.5
313.5,20.0,60.0,209.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
316.5,20.0,60.0,211.0,12.500000000000002,12.5,12.502960934301068,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
319.5,20.0,60.0,213.0,12.499999999999998,12.5,12.502960934301074,12.5,12.499999999999998,12.505056468708254,12.50278697611542,12.5
